date,content,author
2024-06-13 13:53,建议放弃抵抗——后续两天会跌破下方3004个3426点的淡蓝色底裤均线。因为如果,炼炼8
2024-06-13 13:52,不用看了两点了就这样了,股市诸葛亮
2024-06-13 13:52,回测3000点,股友3kwQUQ
2024-06-13 13:51,阴跌不止的走势往往会伴随出现急跌才会见底,红遍天中国牛
2024-06-13 13:51,A股的分红除权设计相当不合理！分的自己钱不说，如下跌你补同样股仓一卖马上收你20,刚割完
2024-06-13 13:51,最近两周，随便买个股，每天都是-1-2，换哪个板块都没用，每天都-1-2，还挺规,我要活到4000点
2024-06-13 13:51,快买入，大资金要来了,宁波三英战吕布
2024-06-13 13:51,兄弟们，实在顶不住了，撤了[惨!关灯吃面][惨!关灯吃面][惨!关灯吃面],粉色小内
2024-06-13 13:50,不要被药明康德主力骗了，业内人士说危机仍未解除！,牛市大圣
2024-06-13 13:50,黑周四，谁敢买票,光哥249
2024-06-13 13:50,上午提示结束。删帖，明天见啦。「相信我的提示铁粉都看到了吧」,空袭大哥_V5
2024-06-13 13:50,"山雨欲来风满楼,风雨过后一片狼藉！",股友0965w0Q621
2024-06-13 13:50,现在不管利好还是利空，天天跌，外面天天新高！,巴菲特他老表
2024-06-13 13:50,A股跌起来轻轻松松，涨一点都何其艰难,春天来了天气暖了
2024-06-13 13:50,5周岁大爆发！“硬科技”定位越来越清晰，乘科特估之风,博时指慧家
2024-06-13 13:50,兄弟你瘦了,股市中锤炼
2024-06-13 13:49,今天都涨不了可以清仓了。大概率要下杀，把量能杀出来,小鱼不渔
2024-06-13 13:49,不会又要绿吧？,一定要止盈
2024-06-13 13:49,销户才是正道,仓位冷静别上头
2024-06-13 13:49,现在走的是五分钟四浪回调的小五浪下跌，结束后走五分钟的五浪上涨，要去突破3051,不同尋常
2024-06-13 13:49,这么说吧，当日红盘的基本买不得，第二天基本低开套人，这行情就是买绿不买红，专沙追,头号炒家
2024-06-13 13:49,阴跌一直跌,ar5467
2024-06-13 13:49,下午白酒，光伏会起飞,宁波三英战吕布
2024-06-13 13:48,跌不下去了，要涨了。看多了。,海中莎鱼
2024-06-13 13:48,[大笑],NEN李
2024-06-13 13:48,虚拟电厂多股涨停板!北京科锐长城电工科远智慧。。。留意老龙头金智科技！,股友1A6872Z561
2024-06-13 13:47,3000点不见不散哦。,东财网友4202513811381516
2024-06-13 13:47,股指期货买跌能赚大钱拼命砸,股友G819W10280
2024-06-13 13:47,三千不过是韭菜想像中的防线，并不存在,Gravel_Gold
2024-06-13 13:47,都是688在涨，散户多的主板不涨，即使半导体大涨也都是前排科创,喵师傅
2024-06-13 13:47,有完没完，C,熊贯全球
2024-06-13 13:47,$上证指数(SH000001)$,神秘的持股者
2024-06-13 13:46,6月战绩,入行小韭菜
2024-06-13 13:46,说这个地方没打操盘手控制，劳资是打死不相信，分时级别打到某一点就砸...反之亦然,声东而击西
2024-06-13 13:46,除了大疆无人机公司，还有科技公司吗？,日进满斗地露娜
2024-06-13 13:46,3000点“保卫战”又要打响！买瓜！,斯马克斯马克
2024-06-13 13:46,陈果“没有增量资金流入股市”竟遭基金经理群攻！,白马飞奔黑马过林
2024-06-13 13:45,量化兴风作浪,趋势投资就有牛
2024-06-13 13:45,只恨自己没有足够的资金可以做空,扶摇直上一字板
2024-06-13 13:45,【午后点评】午后机器人板块有点异动，目前有2家涨停，2024年特斯拉股东大会将于,老刘说股市
2024-06-13 13:45,三千点就是这么难，无论是谁都要等一下，不过3600不能视为牛来了！！,无敌追高
2024-06-13 13:45,低吸，牛市开启，劵商最后压盘,w一j4309
2024-06-13 13:45,又跳水,勤奋的柳皓轩1
2024-06-13 13:44,龙头斩,老66666了
2024-06-13 13:44,3000点以上皆为牛市,中兴之跌
2024-06-13 13:44,利好还是利空都是高开低走低开低走，真是厉害了,回本坚决远离
2024-06-13 13:44,碰撞下跌,風投
2024-06-13 13:44,继续自嗨吧！永远是别人的错#对华电动汽车征税，欧盟算错了账#,股友5G30351P52
2024-06-13 13:44,牛市,万事四海de无崖子
2024-06-13 13:44,这玩意怎么一直跌呢，谁能回答？,股友67167l96t2
2024-06-13 13:43,等3026抄底,勤奋的狙击手
2024-06-13 13:43,电机板块涨不停，绩优大洋的小鬼砸不断，牛A～～～～～～,天天向上178
2024-06-13 13:43,砸盘是定律来的嘛,大侠pp
2024-06-13 13:43,已经跌了快一个月，发生了什么怎么这么不健康市场,喜盈盈地红桔
2024-06-13 13:43,2700点等你,吸血虫思思
2024-06-13 13:43,外资天天卖，身体最诚实#高盛发声：中国市场已现复苏信号#,E213
2024-06-13 13:43,6.13日百万操作分享|重仓半导体大涨！大龙今天还有大动作！,龙行天下虎L
2024-06-13 13:42,我怎么感觉天天都是利空？,开心的每1天
2024-06-13 13:42,半岛体今天是逃跑的最后时光,题材_量能_换手率
2024-06-13 13:42,德系车都是合资车#对华电动汽车征税，欧盟算错了账#,黎明4gu4rh
2024-06-13 13:42,硬想搞事,平等的梅亦凡
2024-06-13 13:42,到底哪些股在涨？,淡定的云啊
2024-06-13 13:42,破3000点在买票？？？,牛不言顶
2024-06-13 13:41,3000肯定会破，迟早的事,温馨的陶莉1
2024-06-13 13:41,神奇的星期四,那个男人叫小帅
2024-06-13 13:41,一起干,翔龙3519
2024-06-13 13:41,电机涨不停，此股这波大爷砸锅卖铁哇～～～～～～～～,天天向上178
2024-06-13 13:41,后天欧洲杯，下个月奥运会。中体产业可以布局。,旺财神2023
2024-06-13 13:41,∴:！！！～～#美股三巨头总市值逼近10万亿美元#,AB1号
2024-06-13 13:40,服了,那个男人叫小帅
2024-06-13 13:40,今日市场成织布机了比昨想象波动还小，今周四明周五掉个坑以半年线上完成周线4连阴？,海弯深情
2024-06-13 13:40,大盘在下30点,股友wxfERf
2024-06-13 13:40,盘中好几波赚钱效应你们抓住吗？但凡你们抓住一个，收盘都是被套的[大笑][大笑],投资梦想2024
2024-06-13 13:40,量化[卖出][卖出][卖出],上升拿股下降拿钱
2024-06-13 13:40,到收盘能红,股友XHOQoM
2024-06-13 13:40,红一下这么难吗？,zhemin2010
2024-06-13 13:40,大盘开始跳水了,疯狂一点点
2024-06-13 13:40,夏天⋯是女人最美的季节……[献花],股友WpsDsU
2024-06-13 13:39,这个样子，明天直接一根砸穿。,widowsamker
2024-06-13 13:39,昨天还根绳，今天就牵走一头牛,买我黄瓜忘了他
2024-06-13 13:53,话题高盛发声：中国市场已现复苏信号,股吧话题
