content,value
锄禾日当午，每天绿为主,0
建议证监会取消一元退市的规定，当前一般制造业企业均面临经营困境和困难，经济有周期,1
这拉升，隐隐约约闻到了小牛的味道[呲牙][呲牙][呲牙][呲牙][呲牙],1
东华软件，机器人概念,1
果然不过压力线[看空],0
A股成功止跌，抄底3000点，加仓，今天继续加仓抄底,1
今天难到是一个低开高走的日子？[大笑][大笑][大笑],1
涨停第二天，本来清仓卖的，结果给我点成了买，就天天绿了。受不了。一翻红就卖完，亏,0
从来不相信沪指能再上3500点，这个点位可以搏个反弹但记得及时脱身[呲牙][呲牙,0
上证指数5日均线有一定的支撑。,1
大盘虽然不绿了，账户绿成了狗,0
券商自己在自救，看看其它的票，想拉垫背。,0
太高了2800以下可以多,0
保卫战[大笑],0
一直没有急跌，一个点一个点阴跌,0
中信肯定赚，绝对做空主力,0
卖不完的内资,0
下午会和恒生指数一样，别抱希望下午上涨什么的，都是骗散户,0
让你无脑拉游戏传媒，活该[旺柴],0
还有几百家排队上市，你们买的完吗？,0
明天吃一根大阴线,0
港股是来大行情了：未来内地投港股更便利了！而且有政策！港股的流动资金增加了！日、,1
上周销户的伙伴，又开回来了嘛？,1
有没有上午进场吃个跌停的。[呲牙],0
要被外资笑掉牙了。哈哈哈，高开低走，这么猛的药都没有药效，销户吧,0
大盘距离底部区域还有很大距离，现在是不是阴跌，什么时候到了加速急跌就快到底了。,0
外围动荡空仓空仓,0
短期仍将回调到3200点附近，卖出等待,0
又到了，3200点，保卫战了。看大盘还怎么玩。哈哈,0
盘面是神吗现象?国家高层诚意满满，基本上股民们的要求高层在周末都给了，而一些意志,1
3123缺口下午补上了，十几年来没有留下月线缺口的，补完缺口后肯定就要下调了今天,0
下午不跳水就奇怪了,0
这半年内资平均每天流出200亿，半年来也流了近3万亿,0
一大早就看见减持的新消息提醒，周一破净股几乎都是银行涨，然后大盘跟个股都大跌完美,0
每个高点都是逃离的时候。,0
利好不断，跌跌不休[哭],0
量化开始了，准备吧,0
继续拉指数，内资继续砸盘出货,0
把昨天涨的那点跌回去,0
我是新羊毛，今天刚来的，刚来的各位多多关照[鼓掌],1
大盘股终于调整了，小盘股雄起。,1
特大利好[爱心][爱心][爱心]为人类健康生命第一[献花][献花][献花]002,1
下午就又能看到3000点保卫战啦,0
砸下了[摊手][微笑],0
反复磨底，信心不足时指数补，市场萎靡时也有可能就是个不错的机会,1
外资做空内资挺住,1
两点半重大消息，全线翻红，暴力拉升，点赞的手里票涨停,1
好玩,1
内资不要怂，下一个港股创业板正在走来。继续加大力度才行,1
做好准备，明天要拉大阳线啦！今日大盘再次震荡，虽然没有向上进攻，但是我已经强烈的,1
才六千多家下跌，多乎哉？不多也！,0
为国护盘,1
可怜的股市,0
粗生主力,0
明日进入修复周期，幅度不会太大，但需要点时间，修复后会突破3060-3070区域，周线长阳反转降临！,1
盘中：大盘目前虽个股还行，但更像是对破位的反抽，并且效果一般，120分钟量能不够,0
继续跌,0
慌的一批啊[惨!关灯吃面],0
热烈庆祝大盘涨停,1
场外资金放量接盘，后市怎么走,1
看着这个大盘本想吹两句，但是看看自己的票价涨幅又如鲠在喉[捂脸],0
指数大涨的时候，个股没怎么涨！现在指数小跌的时候，个股跌的不能看！,0
指数拉上去，个股继续新低,0
连跌五日,0
这跟中阳打出来，那确定性更高了，空方有点虚了,1
今天又套了不少人,0
AIPC和AI手机,1
打破星期四魔咒，加油，不要跳水！,1
又破3200,0
看不到底，有多少人是死在了抄底的路上,0
拉房地产了,1
霄护,0
能不能有一点出息？争口气吧,0
神秘资金赶紧上啊！[旺柴],1
又是暴跌的一天,0
真牛逼，狂拉指数,1
保卫战又要开始了吗,0
加油内资，加油内资，加油内资,1
明天又完蛋了做空涨11了,0
大盘现在看起来很危险，实则一点也不安全。,0
创业板已经创新低了，你也赶紧跟上吧。,0
下来下来,0
个股暴跌，指数微跌，可以可以[大笑][大笑][大笑],0
先破后立是这个意思吗？,0
2803—2630—2440技术支撑，这三个点。首先看2630。深指9000点已,1
最后三分钟，北向跑了10个亿,0
有多少人买在2750亏在2900?,0
每天三四千只股票跌,0
什么玩意儿？没有开盘就绿了？[微笑],0
11月1号到现在净流入只有3天红，卖玩就去嘛,0
3000点保卫战,0
不买,0
无量反弹，收盘必杀跌,0
就这点量内资主力都能跑两百个亿,0
下一个目标位2886点,0
有没可能大盘一字板[大笑][大笑][大笑][大笑],1
减持不断中公完蛋，买了中公，后悔一生，远离中公，倍感轻松，远离垃圾远离股市是智人,0
牛来了，干,1
退出股市了,0
快，多发新股，光头老头，这老头坏得很,0
今天北向救市了,1
单针探底成功，明天暴涨。,1
真没劲，一波像样的攻势都没有。,0
北证出不货天天拉,1
现在让我交亏百分之30的筹码？还是死扛？头秃,0
卖光了，销户,0
厉害呀，不管外围涨跌与否，都不影响你每天下跌！,0
今日低开高走，扬眉吐气一回,1
炒股炒的心都崩了,0
好消息，央行发改委齐发声，证券直线拉升，机会来了，今天全面加仓,1
凡是敌人涨了的，我们坚决跌；凡是敌人跌了的，我比他跌更狠。你奈我何[大笑][大笑,0
券商开始护盘了,1
泼点冷水........,0
跌几天了,0
我们正在奔向牛市，后面有更多利好鞭策我们，关注五日线，莫空仓,1
买。趁空头要回补周二周三会大反弹，周四假阳抄底周五跑，等下周一再抄底。,1
没有外资，照常趴窝，自己人做空，该查查了,0
年线已经调头向下，一波中期调整已经开始。不过不少板块个股仍很活跃，机会仍然很多。,0
打爆空头,1
